"","arrests","countyid","density","popul","perc1019","perc2029","percblack","percmale","rpcincmaint","rpcpersinc","rpcunemins","year","murders","murdrate","arrestrate","statefips","countyfips","execs","lpopul","execrate","stand_res","fitted","residuals"
"1",5,1001,65.36304,38957,15.96889,13.33522,20.87686,48.72552,197.456,11680.74,31.488,1995,5,1.283466,1.283466,1,1,0,10.57021,0,0.882550329942055,0.702313005300532,0.581152994699468
"2",12,1003,74.77023,119373,14.00903,11.79999,13.42347,48.82176,138.416,13327.95,24.272,1995,13,1.089023,1.005252,1,3,0,11.69001,0,0.846162009456006,0.531751892485537,0.557271107514463
"3",1,1005,29.75954,26337,15.09284,13.82086,46.00372,49.1286,396.224,10702.64,44.608,1995,3,1.139082,0.379694,1,5,0,10.17873,0,-0.0849014423560833,1.19489727908465,-0.0558152790846456
"4",0,1009,65.82152,42499,14.20269,13.22384,1.39768,48.94468,177.776,10877.79,23.616,1995,0,0,0,1,9,0,10.65724,0,-0.47723840451745,0.314207292257861,-0.314207292257861
"5",1,1011,17.83979,11151,15.12869,14.18707,72.62129,49.8879,486.752,8498.48,59.04,1995,0,0,0.8967806,1,11,0,9.319284,0,-2.62014614996551,1.71525170420748,-1.71525170420748
"6",1,1013,27.89039,21669,15.79676,11.35262,41.22479,46.81804,354.24,9824.256,41.328,1995,1,0.4614888,0.4614888,1,13,0,9.983638,0,-1.01284170912619,1.12740658261487,-0.665917782614868
"7",15,1015,186.4066,113430,14.75271,14.49793,18.99057,47.96703,234.848,11439.98,36.08,1995,9,0.7934409,1.322402,1,15,0,11.63894,0,0.160586538367428,0.687712309183686,0.105728590816314
"8",5,1017,61.84401,36946,14.74855,13.30591,37.07844,47.30959,240.752,10712.48,35.424,1995,3,0.8119959,1.353327,1,17,0,10.51721,0,-0.358890555771028,1.04809767291946,-0.23610177291946
"9",1,1019,37.69899,20854,14.19872,12.39091,6.977079,49.22317,187.616,9624.832,30.832,1995,0,0,0.4795243,1,19,0,9.945301,0,-0.632328714415242,0.416310616225773,-0.416310616225773
"10",0,1021,49.9881,34695,14.86093,12.84047,11.83168,48.60643,226.976,10726.26,34.112,1995,0,0,0,1,21,0,10.45435,0,-0.79580210717029,0.524072218646556,-0.524072218646556
"11",0,1023,17.43917,15932,17.0349,12.57846,45.40547,47.58976,385.072,10229.01,41.328,1995,1,0.6276676,0,1,23,0,9.676085,0,-0.880354303690046,1.20629891458032,-0.578631314580316
"12",2,1025,22.45659,27812,17.043,13.5553,43.76528,47.91457,387.696,10780.7,51.824,1995,0,0,0.719114,1,25,0,10.23322,0,-1.78610522144447,1.17424212542698,-1.17424212542698
"13",3,1029,23.61641,13230,14.35374,13.56765,4.935752,49.3424,200.08,10795.79,32.8,1995,1,0.7558579,2.267574,1,29,0,9.490242,0,0.571033644856428,0.379852089063787,0.376005810936213
